"Cloud Vendor","Cloud Vendor Account Name","CatalogId","CatalogName","Resource Group","Jul 2025","Total"
"Amazon Web Services","AWS OPS","a6d6s00000095h5qaa","leaseeagle","","860.0235056869","860.0235056869"
"Amazon Web Services","WhosOnLocation-Dev","a6d6s00000095hqqaq","onlocation - people presence management","","0.4793601317","0.4793601317"
"Amazon Web Services","Designly","a6d6s00000095ixqaq","agency studio","","7247.7904654356","7247.7904654356"
"Amazon Web Services","global-springboard-devtest","a6d6s00000095hpqaq","onlocation - footfall analytics","","0.4809791209","0.4809791209"
"Amazon Web Services","AWS ADMIN","a6d6s00000095h5qaa","leaseeagle","","0.4821536574","0.4821536574"
"Amazon Web Services","Robert Ludrosky","it","it","","0.4790557531","0.4790557531"
"Amazon Web Services","findspace-testing","a6d6s00000095gdqaa","findspace","","30.7747920284","30.7747920284"
"Amazon Web Services","UrbanX","a6d6s00000095ixqaq","agency studio","","98.5410608655","98.5410608655"
"Amazon Web Services","Eagle Software Pty Ltd Developer","a6d6s00000095gpqaq","eagle software","","227.3683883319","227.3683883319"
"Amazon Web Services","PropertySuite Web Dev","a6d6s00000095hwqaa","propertysuite","","0.481141585","0.481141585"
"Amazon Web Services","MacMunnis","a6d6s00000095h4qaa","managed services - lease administration","","8738.3602488868","8738.3602488868"
"Amazon Web Services","mri-rent-prod","a6d6s00000095hlqaq","mri inspect","","16445.7792907444","16445.7792907444"
"Amazon Web Services","CloudOps: Engineering","a6d6s00000095h9qaa","manhattan","","62112.2528243136","62112.2528243136"
"Amazon Web Services","Orchard Cloud","a6d6s00000095grqaa","housing enterprise","","11632.611644988","11632.611644988"
"Amazon Web Services","Harcourts International","a6d6s00000095ixqaq","agency studio","","9940.6081159359","9940.6081159359"
"Amazon Web Services","AWS PRODUCTION","a6d6s00000095h5qaa","leaseeagle","","7977.2255291142","7977.2255291142"
"Amazon Web Services","aus-asweb-prod","a6d6s00000095ixqaq","agency studio","","0.7440127868","0.7440127868"
"Amazon Web Services","HAPPY Software","a6d6s00000095gkqaa","happy","","978.5468953521","978.5468953521"
"Amazon Web Services","PropertySuite Production","a6d6s00000095hwqaa","propertysuite","","114.2500639359","114.2500639359"
"Amazon Web Services","le-research","a6d6s00000095h5qaa","leaseeagle","","1.1984204788","1.1984204788"
"Amazon Web Services","Rentfind Inspector (Management Account)","a6d6s00000095i3qaa","real estate investar","","8082.6602861981","8082.6602861981"
