"Cloud Vendor","Cloud Vendor Account Name","CatalogId","CatalogName","Aug 2025","Total"
"Microsoft Azure (Modern Commerce)","PT Pro - Training","a6d6s00000095hvqaa","property tree","398.2862148616","398.2862148616"
"Microsoft Azure (Modern Commerce)","PT Pro - Demo","a6d6s00000095hvqaa","property tree","932.1320405169","932.1320405169"
"Microsoft Azure (Modern Commerce)","global-dns-prod","it","it","15.5818802522","15.5818802522"
"Microsoft Azure (Modern Commerce)","usa-askagora-prod","a6dvx00000007kryai","mri agora a2i","1771.4531403574","1771.4531403574"
"Microsoft Azure (Modern Commerce)","NA DevOps Production","a6d6s00000095hkqaa","property management x - framework","30063.6811677844","30063.6811677844"
"Microsoft Azure (Modern Commerce)","global-itops-corporate-prod","it","it","0.241745159","0.241745159"
"Microsoft Azure (Modern Commerce)","aus-agorainsightsliving-devtest","a6dvx00000003xbyaq","mri agora insights for apac living","7714.9705916381","7714.9705916381"
"Microsoft Azure (Modern Commerce)","FSICloud","a6d6s00000095gxqaq","evolution","96516.7127581177","96516.7127581177"
"Microsoft Azure (Modern Commerce)","usa-hello-prod","a6d6s00000095hgqaq","mri agora gateway","0.1793922913","0.1793922913"
"Microsoft Azure (Modern Commerce)","aus-central-identity","it","it","1296.1411121103","1296.1411121103"
"Microsoft Azure (Modern Commerce)","gbr-incomeanalytics-devtest","a6d6s00000095gxqaa","income analytics","0.005534075","0.005534075"
"Microsoft Azure (Modern Commerce)","can-central-identity-devtest","it","it","0.0022166703","0.0022166703"
"Microsoft Azure (Modern Commerce)","FRP devtest","a6d6s00000095hvqaa","property tree","683.4004211054","683.4004211054"
"Microsoft Azure (Modern Commerce)","usa-rentpayment-devtest","a6d6s00000095i4qaa","rentpayment","4844.0154783259","4844.0154783259"
"Microsoft Azure (Modern Commerce)","can-central-identity","it","it","929.299366671","929.299366671"
"Microsoft Azure (Modern Commerce)","aus-realestateinvestar-prod","a6d6s00000095i3qaa","real estate investar","320.3883820021","320.3883820021"
"Microsoft Azure (Modern Commerce)","gbr-engage-prod","a6d6s00000095grqaq","engage","1125.2256412455","1125.2256412455"
"Microsoft Azure (Modern Commerce)","zaf-central-connectivity","it","it","1362.6768307709","1362.6768307709"
"Microsoft Azure (Modern Commerce)","usa-sandbox-gc","a6d6s00000095hkqaa","property management x - framework","0.0026719196","0.0026719196"
"Microsoft Azure (Modern Commerce)","usa-hello-devtest","a6d6s00000095hgqaq","mri agora gateway","0.0950646938","0.0950646938"
"Microsoft Azure (Modern Commerce)","gbr-agoraidentity-devtest","a6dvx0000000yznyau","mri agora identity & access management","1432.2839985312","1432.2839985312"
"Microsoft Azure (Modern Commerce)","aus-agoragateway-prod","a6d6s00000095hgqaq","mri agora gateway","1834.2808301491","1834.2808301491"
"Microsoft Azure (Modern Commerce)","can-angusprweb-prod","a6d6s00000095fxqaa","angus","408.8559271452","408.8559271452"
"Microsoft Azure (Modern Commerce)","usa-horizon-prod","a6d6s00000095goqaa","horizon","1301.7310030892","1301.7310030892"
"Microsoft Azure (Modern Commerce)","gbr-containerleasing-devtest","a6dvx0000000hkvyaa","container leasing","648.0534524451","648.0534524451"
"Microsoft Azure (Modern Commerce)","Shared Services","a6d6s00000095hvqaa","property tree","618.0700827874","618.0700827874"
"Microsoft Azure (Modern Commerce)","usa-agorainsights-devtest","a6d6s00000095hiqaq","mri agora insights","8792.0128242343","8792.0128242343"
"Microsoft Azure (Modern Commerce)","StrataMaster - Production","a6d6s00000095ilqaq","strata master","812.0495126642","812.0495126642"
"Microsoft Azure (Modern Commerce)","usa-central-deployment","it","it","231.1116342799","231.1116342799"
"Microsoft Azure (Modern Commerce)","aus-search-prod","a6d6s00000095hkqaa","property management x - framework","4795.4854573758","4795.4854573758"
